entity_id,state,last_changed
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T17:29:26.042Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T17:29:41.045Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T17:30:11.232Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T17:30:26.233Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T17:30:42.366Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T17:30:57.368Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T17:35:46.980Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T17:36:01.981Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T17:37:10.247Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T17:37:25.249Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T17:38:16.488Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T17:38:31.489Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-26T20:10:42.102Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-26T20:10:57.104Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T07:41:48.495Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T07:42:03.498Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T07:42:39.976Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T07:42:54.977Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T09:37:54.656Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T09:38:21.515Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T10:08:21.227Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T10:08:36.227Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T12:40:02.093Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T12:40:26.945Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T12:40:30.958Z
binary_sensor.motion_sensor_living_room_vibration,off,2024-07-27T12:40:45.960Z
binary_sensor.motion_sensor_living_room_vibration,on,2024-07-27T12:40:48.732Z
